LOR_Schluessel,Bezeichnung,Raub_2018,Koerperverletzungen_2018,Diebstahl_Kraftwagen_2018,Diebstahl_an/aus_Kfz_2018,Fahrraddiebstahl_2018,Wohnraumeinbruch_2018,Branddelikte_2018,Sachbeschaedigung_2018,Rauschgiftdelikte_2018,Raub_2019,Koerperverletzungen_2019,Diebstahl_Kraftwagen_2019,Diebstahl_an/aus_Kfz_2019,Fahrraddiebstahl_2019,Wohnraumeinbruch_2019,Branddelikte_2019,Sachbeschaedigung_2019,Rauschgiftdelikte_2019,Raub_2020,Koerperverletzungen_2020,Diebstahl_Kraftwagen_2020,Diebstahl_an/aus_Kfz_2020,Fahrraddiebstahl_2020,Wohnraumeinbruch_2020,Branddelikte_2020,Sachbeschaedigung_2020,Rauschgiftdelikte_2020,Raub_2021,Koerperverletzungen_2021,Diebstahl_Kraftwagen_2021,Diebstahl_an/aus_Kfz_2021,Fahrraddiebstahl_2021,Wohnraumeinbruch_2021,Branddelikte_2021,Sachbeschaedigung_2021,Rauschgiftdelikte_2021,Raub_2022,Koerperverletzungen_2022,Diebstahl_Kraftwagen_2022,Diebstahl_an/aus_Kfz_2022,Fahrraddiebstahl_2022,Wohnraumeinbruch_2022,Branddelikte_2022,Sachbeschaedigung_2022,Rauschgiftdelikte_2022,Raub_2023,Koerperverletzungen_2023,Diebstahl_Kraftwagen_2023,Diebstahl_an/aus_Kfz_2023,Fahrraddiebstahl_2023,Wohnraumeinbruch_2023,Branddelikte_2023,Sachbeschaedigung_2023,Rauschgiftdelikte_2023
114010,Friedrichsfelde Nord,66,"1,143",350,529,463,132,119,899,172,137,"1,262",340,713,510,52,72,"1,157",163,109,"1,175",154,616,533,83,45,"1,278",167,50,"1,101",181,676,651,144,63,"1,170",263,79,"1,037",220,890,549,79,79,"1,195",220,98,"1,089",263,"1,285",692,159,86,"1,151",171
114011,Friedrichsfelde Süd,55,634,177,552,556,87,35,788,67,47,713,213,512,427,194,50,973,147,38,785,136,446,438,45,49,933,113,77,896,110,466,466,77,81,"1,072",125,58,685,112,465,379,126,61,855,108,61,918,169,610,405,197,75,681,122
115012,Rummelsburger Bucht,75,702,326,802,"2,731",301,50,"1,002",351,94,"1,322",260,"1,157","2,409",283,165,"1,771",283,259,"1,271",235,871,"1,765",518,118,"2,448",377,24,870,71,611,"1,293",24,141,"2,257",329,135,856,293,744,"1,690",248,68,"1,329",248,67,"1,122",179,942,"1,212",561,67,"1,055",269
115013,Karlshorst,22,359,158,282,784,242,59,535,66,22,419,130,386,610,264,29,455,47,14,452,114,277,857,146,11,569,60,25,501,96,195,696,82,11,462,75,35,418,104,273,678,214,21,439,66,36,569,110,243,906,201,39,634,45
121001,Ost 1 - Reginhardstraße,113,"1,204",145,607,388,219,64,854,222,70,"1,116",146,596,391,269,80,774,363,80,"1,075",94,626,456,146,73,835,345,137,"1,029",109,854,309,81,70,812,253,77,"1,168",123,907,285,183,102,928,292,143,"1,239",153,"1,083",547,160,70,"1,100",202
121002,Ost 2 - Alt-Reinickendorf,132,"1,048",191,"1,066",441,246,51,"1,114",496,124,"1,007",142,985,314,303,40,"1,120",427,72,"1,203",130,"1,076",330,261,47,"1,171",446,131,"1,171",116,"1,113",415,124,175,"1,356",411,106,"1,175",183,"1,186",442,201,95,"1,124",259,203,"1,184",355,"1,538",438,174,112,"1,158",246
122003,West 4 - Auguste-Viktoria-Allee,96,"1,490",81,848,269,170,66,"1,011",299,96,"1,208",74,866,346,188,52,961,236,114,"1,461",51,723,327,224,81,962,202,99,"1,386",55,497,362,117,62,899,333,135,"1,496",80,779,382,109,87,"1,070",306,162,"1,505",144,751,325,173,51,902,202
122004,West 1 - Tegel-Süd/Flughafensee,82,"1,818",189,"1,353",289,233,76,"1,120","1,328",68,"1,419",99,"1,065",266,248,56,799,"1,208",80,"1,320",190,"1,025",374,135,68,"1,056",982,93,"1,199",143,"1,354",186,118,56,770,925,110,"1,212",158,"1,053",231,225,91,"1,041",901,67,"1,592",278,"1,289",327,327,85,"1,084",950
122005,West 5 - Tegel,175,"1,776",46,543,589,258,37,"1,601",322,246,"1,469",55,329,529,329,46,"1,059",274,209,"1,548",64,364,483,91,18,"1,047",264,128,"1,016",18,549,494,156,9,"1,061",302,199,"1,635",36,370,777,90,36,894,217,282,"1,526",154,472,817,91,54,926,245
124006,West 2 - Heiligensee/Konradshöhe,29,395,58,436,214,276,16,387,132,29,324,94,357,250,176,41,493,78,29,390,74,189,160,152,29,570,131,25,330,54,148,177,58,12,458,107,12,393,90,409,229,127,41,524,45,29,424,131,457,179,167,29,624,86
124007,Nord 1 - Frohnau/Hermsdorf,39,406,155,"1,037",559,478,39,606,96,42,302,123,448,780,260,12,565,132,42,356,96,245,482,144,30,488,105,21,292,48,217,508,96,15,671,75,36,382,111,356,604,269,30,610,66,51,341,242,680,719,384,39,891,66
125008,West 3 - Borsigwalde/Freie Scholle,36,571,170,729,359,334,24,826,109,36,564,121,570,394,230,36,467,188,18,656,146,498,352,122,30,893,152,24,628,110,421,396,128,49,689,146,73,736,134,620,365,122,91,705,280,84,821,296,893,386,91,133,791,145
125009,Nord 2 - Waidmannslust/Wittenau/Lübars,79,"1,192",111,534,420,308,35,989,302,101,"1,157",95,419,469,295,51,948,342,101,"1,048",107,537,268,180,76,973,281,85,"1,003",63,536,348,210,97,"1,107",317,78,"1,174",137,727,447,221,47,882,224,110,"1,334",213,814,495,276,110,"1,043",166
126010,Rollbergesiedlung,54,"1,076",75,581,258,204,22,"1,151",194,54,904,140,366,183,366,54,"1,690",226,76,875,86,746,292,162,54,562,173,44,927,109,643,185,109,44,839,98,76,757,162,606,292,151,76,941,130,74,"1,083",340,966,340,212,106,839,149
126011,MV Nord,134,"1,293",187,673,195,54,88,685,272,106,"1,362",159,652,201,49,110,709,186,98,"1,154",102,647,201,61,136,783,223,79,"1,154",49,558,247,49,49,888,169,70,"1,305",107,521,259,67,118,839,170,106,"1,230",131,836,263,88,142,781,139
126012,MV Süd,66,935,197,592,132,146,51,658,175,87,943,65,363,138,196,73,675,167,58,839,80,557,181,101,109,695,246,58,926,44,343,160,80,88,664,131,80,790,65,420,196,167,43,609,130,73,757,109,684,182,189,73,488,58
